"FAOSTATCODE";"COMMODITY";"DEFINITION";"DerivedCode"
"0167";"Sugar and Syrups nes";"Includes invert sugar, caramel, golden syrup, artificial honey,
maltose other than chemically pure, sorghum and palm sugars. See also
the general note in the introduction.";161
"0155";"Maltose, Chemically Pure";"Produced industrially from starch by hydrolysis with malt diastase.
Used in the brewing industry.";161
"0172";"Glucose and Dextrose";"Glucose is a monosaccharide produced by hydrolysing starch with acids
and/or enzymes.  Dextrose is chemically pure glucose. Used in the food
industry, in brewing, in tobacco fermentation and in pharmaceutical
products.";161
"0175";"Isoglucose";"Also known as HFCS (high-fructose corn syrup), HFSS (high-fructose
starch syrup), HFGS (high-fructose glucose syrup). Isoglucose is a new
type of starch syrup where glucose has been isomerized to fructose by
using one or more isomerizing enzymes. Most important of the
sweeteners manufactured from maize starch. Widely used in the
production of food and soft drinks.";161
"0154";"Fructose, Chemically Pure";"Or levulose, monosaccharide, present with glucose in sweet fruits and
honey.";161
"0166";"Other Fructose and Syrup";"Monosaccharide found in fruits and honey, commercially produced from
glucose, sucrose or by hydrolysis of inulin (polysaccharide found
mainly in the tubers of the dahlia and the Jerusalem artichoke).
Especially suitable for use by diabetics.";161
"0168";"Sugar Confectionery";"Sugar confectionery, including chewing gum, that does not contain
cocoa. Includes white chocolate.";161
"0173";"Lactose";"Also known as milk sugar. Produced commercially from whey.";161
"1182";"HONEY";"Honey produced by bees (Apis mellifera) or by other insects.";0
"0174";"Artificial Sweeteners";"High-intensity or low-caloric sweetening agents that are produced
chemically.";1182
"0236";"SOYBEANS
Glycine soja";"The most important oil crop. Also widely consumed as a bean and in the
form of various derived products because of its high protein content,
e.g. soya milk, meat, etc.";0
"0237";"Oil of Soybeans";"See Chapter 11.";236
"0239";"Soya Sauce";"A fermented soya product from defatted soybeand and wheat or other
cereals that is filtered and pasteurized.";236
"0240";"Soya Paste";"A fermented, salty condiment. Soya paste can be produced through brine
fermentation of low- moisture soya curd.";236
"0241";"Soya Curd";"Obtained by precipitating proteins from soya milk and removing the
fluid. Can be fermented or non-fermented.";236
"0242";"GROUNDNUTS IN SHELL
Arachis hypogaea";"For trade data, groundnuts in shell are converted at 70% and reported
on a shelled basis.";0
"0243";"Groundnuts, Shelled";"Used as direct food and for extracting oil.";242
"0244";"Oil of Groundnuts";"See Chapter 11.";242
"0246";"Prepared Groundnuts";"Roasted, salted, flavoured, etc.";242
"0247";"Peanut Butter";"Obtained by grinding roasted peanuts. In addition to fat, at 40-46%,
peanut butter contains all other components of the nuts.";242
"0249";"COCONUTS
Cocos nucifera
Husked coconut";"In shell, covered by the endocarp, while exocarp (the smooth outer
skin) and mesocarp (the fibrous covering) are removed. Immature nuts
contain a milky juice that is consumed as a refreshing drink. Mature
nuts are consumed as such, or processed for copra or desiccated
coconut. The flesh, from which copra/oil is extracted, constitutes
40-70% of the weight of the husked coconut. The oil content is about
36% of the flesh.";0
"0250";"Coconuts, Desiccated";"Dried, shredded flesh of coconut processed for human consumption. It
retains most of the oil and proteins of the fresh nut and is mainly
used in confectionery and baking.";249
"0251";"Copra";"The dried flesh of coconut from which the oil is extracted.";249
"0252";"Oil of Coconut";"See Chapter 11.";249
"0254";"[OIL PALM FRUIT]
Elaeis guineensis";"The oil palm produces bunches containing a large number of fruits with
the fleshy mesocarp enclosing a kernel that is covered by a very hard
shell. FAO considers palm oil (coming from the pulp) and palm kernels
to be primary products. The oil extraction rate from a bunch varies
from 17 to 27% for palm oil, and from 4 to 10% for palm kernels.";0
"0256";"PALM KERNELS";"Seeds of the oil palm. Babassu kernels (Orbignya speciosa) are often
reported as palm kernels.";254
"0257";"OIL OF PALM";"See Chapter 14.";254
"0259";"Cake of Palm Kernel";"Â";254
"0260";"OLIVES Olea europaea";"Includes table olives and olives for oil.";0
"0261";"Oil of Olives, Virgin";"See Chapter 11.";260
"0274";"Oil of Olive Residues";"Â";260
"0263";"KARITE NUTS (SHEANUTS) Butyrospermum parkii";"Production data refer only to the nut contained in the fruit although
        the pulp around the nut is also edible.";0
"0264";"Butter of Karite Nuts";"";263
"0265";"CASTOR BEANS Ricinus communis";"Valued mainly for their oil, which is used in pharmaceutical products.
        Ground seedcakes are used as fertilizers (castor oil pomace).";0
"0266";"Oil of Castor Beans";"See Chapter 14.";265
"0267";"SUNFLOWER SEED Helianthus annuus";"Valued mainly for its oil. Minor uses include as a human food and as
        feed for birds.";0
"0268";"Oil of Sunflower Seed";"See Chapter 11.";267
"0270";"RAPESEED Brassica napus var. oleifera";"Valued mainly for its oil. Older varieties are rich in Erucic acid,
        which is considered unhealthy.";0
"0271";"Oil of Rapeseed Canola oil";"See Chapter 11.";270
"0275";"TUNG NUTS Aleurites cordata; A. fordii";"Valued mainly for their oil.";0
